,0,1,2,3,4,5,6,7,8,9
0,"('p_0_0', 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)"
1,"(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)"
2,"(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)"
3,"(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)"
4,"(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)","(None, 0)"
